cid,name,mythology,birthday,birthday_unlock,height,height_unlock,body_shape,body_shape_unlock,mbti,mbti_unlock,tendency,tendency_unlock,personality,personality_unlock,personality_word,personality_word_unlock,preferences,preferences_unlock,ideal_type,ideal_type_unlock,vow_word
2001,Medusa,Greek Gods,6-21,500,171cm,1000,B101·W62·H96,1000,ESTJ - The Executive,200,Chaos - Solipsistic,500,"Arrogant, selfish, humorous",500,"If you are too absorbed in admiring my figure, then my collection of stone statues would probably welcome you.",3000,"Beauty, sculpture, painting, mirror collection",1500,A man turned to stone by his own hands,1500,"Make an eternal vow with me? Uh... do you mean you want to be turned into stone? Wait...wait! I'm just kidding! Actually, I just wanted to watch you panic."
2002,Poseidon,Greek Gods,12-21,500,156cm,1000,B97·W59·H92,1000,ISFP - The Explorer,200,Neutrality - Solipsistic,500,"Willful, introverted, gentle",500,"If the war really ends one day, I will take you back to the underwater palace, how about that?",3000,"Fish farming, swimming, music, opera",1500,"A person who is strong, mature and willing to give everything for himself",1500,"I worry that I may never regain my powers, which sleep in the depths of the sea. But when sharing this vow with you, that concern seems far less important."
2003,Jeanne d'Arc,Hebrew Gods,5-30,500,160cm,1000,B96·W61·H90,1000,ENFJ - The Protagonist,200,Order - Selfless,500,"Firm, persistent, rational",500,"I never advocate solving problems with fighting, but I am never afraid of using war to end disputes!",3000,"Reading, raising animals, and listening to confessions",1500,"Honest, gentle, wise, like an elder or mentor",1500,"This eternal vow is a union of our souls and beliefs. I have experienced countless dangers and trials, and now that you are with me, we will surely end this apocalyptic catastrophe."
2004,Siren,Greek Gods,8-6,500,167cm,1000,B98·W59·H92,1000,ENFP - The Campaigner,200,Chaos - Solipsistic,500,"Capricious, selfish, intelligent",500,"My song will be like a dreamy symphony, flowing through the deep sea and into your soul...",3000,Everything related to singing,1500,"A gentle, emotional person who can fall asleep listening to his own singing",1500,"Traditionally, sirens sing when making their vows. But I am worried you would faint from happiness if I were to sing here and now. I should wait until the evening when we are alone."
2005,Nephthys,Egyptian Gods,1-22,500,159cm,1000,B97·W60·H94,1000,ENFP - The Campaigner,200,Neutrality - Solipsistic,500,"Lively, casual, humorous",500,"Humph, in the eyes of mortals, I am an absolute antique.",3000,"Tailoring, collecting dolls and antiques",1500,"Bold, young, adventurous person",1500,"Wow! I'm surprised that you chose to make a vow with me! Although I cannot give you eternal life, I promise to make you the most beautiful mummy in the world!"
2006,Tsukuyomi,Japanese Gods,12-1,500,168cm,1000,B97·W59·H90,1000,INFP - The Mediator,200,Neutrality - Selfless,500,"Gentle, quiet, calm",500,May the moonlight shine into your heart and see into your soul...,3000,"Playing chess, painting, poetry",1500,"Smart, thoughtful, aesthetically pleasing, someone who can find common ground with you",1500,"We have already placed our trust in each other, so a vow is irrelevant. Still, I am pleased with the gentleness that comes from the depths of your soul."
2007,Ungnyeo,Korean Gods,4-21,500,170cm,1000,B106·W63·H95,1000,ESFP - The Entertainer,200,Chaos - Selfless,500,"Optimistic, lively, gentle",500,The power of nature is always worthy of trust and reliance.,3000,Cooking and caring for animals,1500,A person who is loving and gentle towards the things around him,1500,Awwww...I am very happy to earn your approval and make an eternal vow with you! But this little cutie next to me seems...er.. not pleased about this...
2008,Shennong,Chinese Gods,5-1,500,164cm,1000,B99·W61·H93,1000,ISTJ - The Logistician,200,Order - Selfless,500,"Firm, gentle, steady",500,I miss the peaceful afternoon tea time every day before the end of the world.,3000,"Tea ceremony, cooking, music research, alchemy, compiling medical books",1500,"A person who values family, is kind and responsible",1500,"The union of two souls through a vow is like preparing medicine. When blended, two ingredients, no matter how common, can create a miracle."
2009,Geb,Egyptian Gods,8-6,500,170cm,1000,B99·W60·H93,1000,ISFP - The Explorer,200,Order - Neutral,500,"Calm, quiet, firm",500,"Time is the best medicine to heal the earth, and the scars of war will eventually disappear with the dust.",3000,"Cultivate plants, travel, and find new oases",1500,"Enthusiastic, outgoing, adventurous, and someone who approaches her proactively",1500,"Our vows create a dependence between our souls, much like that between lush trees and nourishing soil. I will always do my best to protect you like the earth."
2010,Lilith,Hebrew Gods,9-1,500,163cm,1000,B96·W59·H91,1000,ENTP - The Debater,200,Chaos - Solipsistic,500,"Humorous, changeable, lively",500,Are you interested in signing a new contract with the cute and charming succubus idol?,3000,Idol activities and grand concerts,1500,The most loyal fan of her,1500,"Ah... If I make this vow, does it mean that I only belong to you? But I want to be everyone's sweet heart!"
